,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7
0,AMD1,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
1,AMD10,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857
2,AMD11,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143
3,AMD12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
4,AMD13,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5714285714285714
5,AMD14,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571
6,AMD15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143
7,AMD2,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143
8,AMD3,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.2857142857142857
9,AMD4,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143
10,AMD5,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571
11,AMD6,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143
12,AMD7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571
14,AMD9,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.7142857142857143
15,DME1,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285
16,DME10,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.42857142857142855
17,DME11,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857
18,DME12,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285
19,DME13,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.2857142857142857
20,DME14,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
21,DME15,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857
22,DME2,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857
23,DME3,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857
24,DME4,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285
25,DME5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857
26,DME6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857
27,DME7,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855
28,DME8,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857
29,DME9,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.42857142857142855
30,Average MAP and MRR,"3, 5, 7",0.5055555555555556,0.4222222222222223,0.5588888888888889,0.45333333333333314,0.569206349206349,0.4714285714285716
