,query1,query2,size,siamese_distance
0,DME4,AMD1,"(496, 512)",62.31655502319336
16,DME4,DME10,"(496, 512)",62.42246627807617
4,DME4,AMD13,"(496, 512)",62.424686431884766
17,DME4,DME11,"(496, 512)",62.425315856933594
27,DME4,DME8,"(496, 512)",62.458866119384766
13,DME4,AMD8,"(496, 512)",62.462181091308594
7,DME4,AMD2,"(496, 512)",62.463199615478516
14,DME4,AMD9,"(496, 512)",62.4726448059082
5,DME4,AMD14,"(496, 512)",62.47294235229492
15,DME4,DME1,"(496, 512)",62.476749420166016
28,DME4,DME9,"(496, 512)",62.494415283203125
25,DME4,DME6,"(496, 512)",62.50414276123047
8,DME4,AMD3,"(496, 512)",62.50486373901367
20,DME4,DME14,"(496, 512)",62.52055740356445
26,DME4,DME7,"(496, 512)",62.524208068847656
2,DME4,AMD11,"(496, 512)",62.52817153930664
1,DME4,AMD10,"(496, 512)",62.53292465209961
21,DME4,DME15,"(496, 512)",62.539852142333984
3,DME4,AMD12,"(496, 512)",62.542293548583984
23,DME4,DME3,"(496, 512)",62.55104446411133
22,DME4,DME2,"(496, 512)",62.592811584472656
12,DME4,AMD7,"(496, 512)",62.59330368041992
19,DME4,DME13,"(496, 512)",62.59425735473633
18,DME4,DME12,"(496, 512)",62.643001556396484
10,DME4,AMD5,"(496, 512)",62.67954635620117
6,DME4,AMD15,"(496, 512)",62.688289642333984
24,DME4,DME5,"(496, 512)",62.7041130065918
11,DME4,AMD6,"(496, 512)",62.73539352416992
9,DME4,AMD4,"(496, 512)",62.8455810546875
