,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7
0,DME1,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857
1,DME10,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
2,DME11,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
3,DME12,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.5714285714285714
4,DME13,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714
5,DME14,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.42857142857142855
6,DME15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857
7,DME2,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143
8,DME3,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
9,DME4,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
10,DME5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855
11,DME6,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855
12,DME7,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.2857142857142857
13,DME8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855
14,DME9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0
15,NORMAL1,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.7142857142857143
16,NORMAL10,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.7142857142857143
17,NORMAL12,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714
18,NORMAL13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.5714285714285714
19,NORMAL14,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714
20,NORMAL15,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714
21,NORMAL2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
22,NORMAL3,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571
23,NORMAL4,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.42857142857142855
24,NORMAL5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.42857142857142855
25,NORMAL6,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143
26,NORMAL7,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571
27,NORMAL8,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857
28,NORMAL9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
29,Average MAP and MRR,"3, 5, 7",0.7988505747126436,0.6091954022988505,0.807471264367816,0.6000000000000001,0.807471264367816,0.5714285714285714
