,query1,query2,size,siamese_distance
36,AMD2,NORMAL3,"(496, 512)",61.18872833251953
29,AMD2,NORMAL1,"(496, 512)",61.2089729309082
12,AMD2,AMD8,"(496, 512)",61.21876907348633
34,AMD2,NORMAL15,"(496, 512)",61.2280387878418
31,AMD2,NORMAL12,"(496, 512)",61.30906677246094
13,AMD2,AMD9,"(496, 512)",61.36205291748047
39,AMD2,NORMAL6,"(496, 512)",61.4132080078125
5,AMD2,AMD14,"(496, 512)",61.4151725769043
38,AMD2,NORMAL5,"(496, 512)",61.41924285888672
41,AMD2,NORMAL8,"(496, 512)",61.421653747558594
30,AMD2,NORMAL10,"(496, 512)",61.454833984375
17,AMD2,DME12,"(496, 512)",61.457481384277344
7,AMD2,AMD3,"(496, 512)",61.46000671386719
4,AMD2,AMD13,"(496, 512)",61.48747634887695
23,AMD2,DME4,"(496, 512)",61.507957458496094
25,AMD2,DME6,"(496, 512)",61.5112419128418
24,AMD2,DME5,"(496, 512)",61.51607131958008
40,AMD2,NORMAL7,"(496, 512)",61.52535629272461
9,AMD2,AMD5,"(496, 512)",61.5339241027832
27,AMD2,DME8,"(496, 512)",61.5394287109375
14,AMD2,DME1,"(496, 512)",61.56114196777344
1,AMD2,AMD10,"(496, 512)",61.5694580078125
8,AMD2,AMD4,"(496, 512)",61.5933952331543
37,AMD2,NORMAL4,"(496, 512)",61.6239013671875
20,AMD2,DME15,"(496, 512)",61.636474609375
21,AMD2,DME2,"(496, 512)",61.63758850097656
16,AMD2,DME11,"(496, 512)",61.64301300048828
33,AMD2,NORMAL14,"(496, 512)",61.65256881713867
32,AMD2,NORMAL13,"(496, 512)",61.67793273925781
3,AMD2,AMD12,"(496, 512)",61.69231033325195
18,AMD2,DME13,"(496, 512)",61.71015548706055
28,AMD2,DME9,"(496, 512)",61.72050094604492
22,AMD2,DME3,"(496, 512)",61.722434997558594
19,AMD2,DME14,"(496, 512)",61.72256088256836
42,AMD2,NORMAL9,"(496, 512)",61.725059509277344
10,AMD2,AMD6,"(496, 512)",61.72565841674805
26,AMD2,DME7,"(496, 512)",61.7308349609375
15,AMD2,DME10,"(496, 512)",61.73569869995117
0,AMD2,AMD1,"(496, 512)",61.757930755615234
35,AMD2,NORMAL2,"(496, 512)",61.766597747802734
6,AMD2,AMD15,"(496, 512)",61.78623580932617
11,AMD2,AMD7,"(496, 512)",61.786705017089844
2,AMD2,AMD11,"(496, 512)",61.88109588623047
