,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7
0,AMD1,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855
1,AMD10,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714
2,AMD11,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855
3,AMD12,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855
4,AMD13,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0
5,AMD14,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.42857142857142855
6,AMD15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855
7,AMD2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855
8,AMD3,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714
9,AMD4,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.7142857142857143
10,AMD5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714
11,AMD6,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857
12,AMD7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
13,AMD8,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285
14,AMD9,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857
15,DME1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
16,DME10,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855
17,DME11,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855
18,DME12,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857
19,DME13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.5714285714285714
20,DME14,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857
21,DME15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714
22,DME2,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.5714285714285714
23,DME3,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857
24,DME4,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285
25,DME5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857
26,DME6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855
27,DME7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855
28,DME8,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.7142857142857143
29,DME9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143
30,NORMAL1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.8571428571428571
31,NORMAL10,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.5714285714285714
32,NORMAL12,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.42857142857142855
33,NORMAL13,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.7142857142857143
34,NORMAL14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571
35,NORMAL15,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.42857142857142855
36,NORMAL2,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.5714285714285714
37,NORMAL3,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143
38,NORMAL4,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.2857142857142857
39,NORMAL5,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857
40,NORMAL6,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714
41,NORMAL7,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714
42,NORMAL8,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857
43,NORMAL9,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571
44,Average MAP and MRR,"3, 5, 7",0.6931818181818181,0.5303030303030302,0.6931818181818181,0.4772727272727273,0.7007575757575757,0.4772727272727273
